IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
158.101.144.189,2083,2083,TRUE,JP,Asia Pacific,Tokyo,78,2.19
141.147.170.160,8443,8443,TRUE,JP,Asia Pacific,Tokyo,181,2.19
158.179.186.138,8880,8880,FALSE,JP,Asia Pacific,Tokyo,90,2.19
158.179.191.14,8443,8443,TRUE,JP,Asia Pacific,Tokyo,120,2.18
141.147.170.160,2052,2052,FALSE,JP,Asia Pacific,Tokyo,81,2.18
131.186.63.35,8443,8443,TRUE,JP,Asia Pacific,Tokyo,101,2.16
138.3.208.9,2087,2087,TRUE,JP,Asia Pacific,Tokyo,147,2.15
132.145.122.95,2086,2086,FALSE,JP,Asia Pacific,Tokyo,79,2.14
158.101.136.239,8443,8443,TRUE,JP,Asia Pacific,Tokyo,151,2.11
132.145.114.4,8443,8443,TRUE,JP,Asia Pacific,Tokyo,107,2.1
152.70.102.124,8080,8080,FALSE,HK,Asia Pacific,Hong Kong,139,2.1
168.138.211.188,8443,8443,TRUE,HK,Asia Pacific,Hong Kong,179,2.05
168.138.212.40,2083,2083,TRUE,JP,Asia Pacific,Tokyo,173,2.03
140.238.53.190,2095,2095,FALSE,JP,Asia Pacific,Tokyo,80,2.03
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
