IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
151.145.66.219,2087,2087,TRUE,JP,Asia Pacific,Tokyo,108,9.51
140.238.51.184,8080,8080,FALSE,JP,Asia Pacific,Tokyo,87,9.51
168.138.195.31,2095,2095,FALSE,JP,Asia Pacific,Tokyo,95,9.5
140.238.34.208,2052,2052,FALSE,JP,Asia Pacific,Tokyo,87,9.5
144.21.51.110,443,443,TRUE,DE,Europe,DEnkfurt,185,9.5
131.186.43.107,2053,2053,TRUE,JP,Asia Pacific,Tokyo,136,9.5
168.138.194.121,2082,2082,FALSE,JP,Asia Pacific,Tokyo,89,9.49
158.101.159.181,2082,2082,FALSE,JP,Asia Pacific,Tokyo,71,9.49
168.138.214.62,2052,2052,FALSE,JP,Asia Pacific,Tokyo,79,9.48
132.145.120.103,8080,8080,FALSE,JP,Asia Pacific,Tokyo,79,9.48
152.70.57.176,443,443,TRUE,DE,Europe,DEnkfurt,187,9.48
140.238.53.190,8080,8080,FALSE,JP,Asia Pacific,Tokyo,78,9.47
151.145.65.8,2087,2087,TRUE,JP,Asia Pacific,Tokyo,263,9.46
140.238.46.138,8880,8880,FALSE,JP,Asia Pacific,Tokyo,86,9.46
158.101.149.81,8880,8880,FALSE,JP,Asia Pacific,Tokyo,80,9.46
140.238.35.78,2052,2052,FALSE,JP,Asia Pacific,Tokyo,75,9.46
141.144.199.143,443,443,TRUE,DE,Europe,DEnkfurt,178,9.46
131.186.63.184,2095,2095,FALSE,JP,Asia Pacific,Tokyo,71,9.46
158.101.158.251,2053,2053,TRUE,JP,Asia Pacific,Tokyo,122,9.45
84.8.154.136,443,443,TRUE,DE,Europe,DEnkfurt,204,9.45
158.101.131.218,2096,2096,TRUE,JP,Asia Pacific,Tokyo,102,9.45
168.138.198.202,2052,2052,FALSE,JP,Asia Pacific,Tokyo,78,9.45
158.101.139.42,2083,2083,TRUE,JP,Asia Pacific,Tokyo,71,9.44
168.138.211.131,2053,2053,TRUE,JP,Asia Pacific,Tokyo,203,9.44
132.145.125.86,2083,2083,TRUE,JP,Asia Pacific,Tokyo,71,9.43
168.138.202.145,2052,2052,FALSE,JP,Asia Pacific,Tokyo,85,9.43
132.145.112.168,8080,8080,FALSE,JP,Asia Pacific,Tokyo,79,9.43
168.138.207.64,2082,2082,FALSE,JP,Asia Pacific,Tokyo,69,9.42
158.101.159.212,2083,2083,TRUE,JP,Asia Pacific,Tokyo,118,9.42
140.238.61.224,80,80,FALSE,JP,Asia Pacific,Tokyo,84,9.42
132.145.120.115,2095,2095,FALSE,JP,Asia Pacific,Tokyo,75,9.42
151.145.68.104,2086,2086,FALSE,JP,Asia Pacific,Tokyo,78,9.42
158.101.68.48,8080,8080,FALSE,JP,Asia Pacific,Tokyo,88,9.41
158.101.140.255,2096,2096,TRUE,JP,Asia Pacific,Tokyo,108,9.4
158.101.69.144,2086,2086,FALSE,JP,Asia Pacific,Tokyo,74,9.4
132.145.123.159,2087,2087,TRUE,JP,Asia Pacific,Tokyo,91,9.4
158.101.158.251,2083,2083,TRUE,JP,Asia Pacific,Tokyo,118,9.4
144.24.169.81,2053,443,TRUE,DE,Europe,DEnkfurt,166,9.4
168.138.211.217,80,80,FALSE,JP,Asia Pacific,Tokyo,86,9.4
132.145.117.216,8443,8443,TRUE,JP,Asia Pacific,Tokyo,103,9.4
141.147.160.86,8443,8443,TRUE,JP,Asia Pacific,Tokyo,87,9.38
140.238.58.42,2096,2096,TRUE,JP,Asia Pacific,Tokyo,108,9.38
141.147.182.70,2083,2083,TRUE,JP,Asia Pacific,Tokyo,87,9.38
168.138.200.155,2095,2095,FALSE,JP,Asia Pacific,Tokyo,79,9.37
138.3.220.4,8880,8880,FALSE,JP,Asia Pacific,Tokyo,88,9.36
140.238.54.182,8880,8880,FALSE,JP,Asia Pacific,Tokyo,90,9.36
140.238.32.184,8443,8443,TRUE,JP,Asia Pacific,Tokyo,85,9.36
140.238.36.248,2052,2052,FALSE,JP,Asia Pacific,Tokyo,80,9.36
151.145.65.203,2086,2086,FALSE,JP,Asia Pacific,Tokyo,82,9.36
138.3.217.39,2095,2095,FALSE,JP,Asia Pacific,Tokyo,94,9.36
131.186.37.191,2087,2087,TRUE,JP,Asia Pacific,Tokyo,104,9.35
158.101.159.212,2053,2053,TRUE,JP,Asia Pacific,Tokyo,75,9.35
140.238.52.141,8080,8080,FALSE,JP,Asia Pacific,Tokyo,81,9.34
168.138.192.185,2086,2086,FALSE,JP,Asia Pacific,Tokyo,74,9.34
131.186.58.151,2082,2082,FALSE,JP,Asia Pacific,Tokyo,88,9.33
168.138.211.131,8080,8080,FALSE,JP,Asia Pacific,Tokyo,77,9.33
131.186.44.38,8443,8443,TRUE,JP,Asia Pacific,Tokyo,137,9.32
158.101.90.190,2096,2096,TRUE,JP,Asia Pacific,Tokyo,183,9.32
158.101.88.214,80,80,FALSE,JP,Asia Pacific,Tokyo,79,9.31
158.180.59.103,443,443,TRUE,DE,Europe,DEnkfurt,178,9.3
131.186.47.255,80,80,FALSE,JP,Asia Pacific,Tokyo,71,9.29
168.138.211.131,2086,2086,FALSE,JP,Asia Pacific,Tokyo,80,9.29
141.147.181.148,2053,2053,TRUE,JP,Asia Pacific,Tokyo,72,9.29
158.101.154.70,2082,2082,FALSE,JP,Asia Pacific,Tokyo,91,9.28
168.138.205.38,2096,2096,TRUE,JP,Asia Pacific,Tokyo,109,9.28
131.186.63.35,2053,2053,TRUE,JP,Asia Pacific,Tokyo,95,9.28
140.238.44.118,8880,8880,FALSE,JP,Asia Pacific,Tokyo,80,9.26
158.101.137.96,2083,2083,TRUE,JP,Asia Pacific,Tokyo,92,9.26
141.147.5.24,443,443,TRUE,DE,Europe,DEnkfurt,167,9.26
168.138.207.64,2096,2096,TRUE,JP,Asia Pacific,Tokyo,120,9.26
140.238.52.141,2087,2087,TRUE,JP,Asia Pacific,Tokyo,97,9.25
158.101.136.239,2082,2082,FALSE,JP,Asia Pacific,Tokyo,75,9.25
138.3.222.204,2086,2086,FALSE,JP,Asia Pacific,Tokyo,95,9.25
158.101.137.96,2086,2086,FALSE,JP,Asia Pacific,Tokyo,80,9.24
132.145.120.115,2082,2082,FALSE,JP,Asia Pacific,Tokyo,71,9.24
141.144.193.42,443,443,TRUE,DE,Europe,DEnkfurt,179,9.24
151.145.71.40,2086,2086,FALSE,JP,Asia Pacific,Tokyo,88,9.24
168.138.212.175,2096,2096,TRUE,JP,Asia Pacific,Tokyo,142,9.24
140.238.32.184,2052,2052,FALSE,JP,Asia Pacific,Tokyo,79,9.23
151.145.74.56,8880,8880,FALSE,JP,Asia Pacific,Tokyo,74,9.22
131.186.41.82,2083,2083,TRUE,JP,Asia Pacific,Tokyo,81,9.22
132.145.121.247,8443,8443,TRUE,JP,Asia Pacific,Tokyo,87,9.22
140.238.54.149,2082,2082,FALSE,JP,Asia Pacific,Tokyo,89,9.22
158.101.136.239,2083,2083,TRUE,JP,Asia Pacific,Tokyo,82,9.22
158.101.150.126,80,80,FALSE,JP,Asia Pacific,Tokyo,88,9.21
158.101.89.33,2087,2087,TRUE,JP,Asia Pacific,Tokyo,91,9.21
